Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Perfilhos;Falhas
1;4;58;IPANEMA;1;Expert Grow;B3;54;30/10/2020;3;159;0
1;4;58;IPANEMA;1;Scudero Mult;B3;55;30/10/2020;3;256;0
1;4;58;IPANEMA;1;Marshall;B3;56;30/10/2020;3;173;1
1;4;58;IPANEMA;1;ML - 4;B3;57;30/10/2020;3;174;0
1;4;58;IPANEMA;1;Marshall;B1;37;30/10/2020;4;147;0
1;4;58;IPANEMA;1;Scudero Mult;B1;38;30/10/2020;4;156;1
1;4;58;IPANEMA;1;Expert Grow;B1;39;30/10/2020;4;161;0
1;4;58;IPANEMA;1;Disperse Ultra;B1;40;30/10/2020;4;212;0
1;4;58;IPANEMA;1;Sulfato de Zinco;B1;41;30/10/2020;4;164;0
1;4;58;IPANEMA;1;ML - 4;B1;42;30/10/2020;4;115;5
1;4;58;IPANEMA;1;Controle;B1;43;30/10/2020;4;150;0
1;4;58;IPANEMA;1;Scudero Mult;B2;45;30/10/2020;4;168;0
1;4;58;IPANEMA;1;Sulfato de Zinco;B2;46;30/10/2020;4;161;8
1;4;58;IPANEMA;1;Marshall;B2;44;30/10/2020;4;145;0
1;4;58;IPANEMA;1;ML - 4;B2;50;30/10/2020;4;160;0
1;4;58;IPANEMA;1;Expert Grow;B2;48;30/10/2020;4;123;4
1;4;58;IPANEMA;1;Controle;B2;49;30/10/2020;4;155;0
1;4;58;IPANEMA;1;Disperse Ultra;B2;47;30/10/2020;4;194;2
1;4;58;IPANEMA;1;Controle;B3;51;30/10/2020;4;140;0
1;4;58;IPANEMA;1;Disperse Ultra;B3;52;30/10/2020;4;132;0
1;4;58;IPANEMA;1;Sulfato de Zinco;B3;53;30/10/2020;4;154;0
1;4;58;IPANEMA;1;Expert Grow;B3;54;30/10/2020;4;116;1
1;4;58;IPANEMA;1;Scudero Mult;B3;55;30/10/2020;4;168;0
1;4;58;IPANEMA;1;Marshall;B3;56;30/10/2020;4;148;0
1;4;58;IPANEMA;1;ML - 4;B3;57;30/10/2020;4;158;1
