Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data;Ponto; Brix (%) ; LAI (%) ; PBU (g) 
1;23;301;AGUA BRANCA;53;IACSP04 6007;B3;309;05/07/2021;1;17,64;63,8;143,27
1;23;301;AGUA BRANCA;53;IACCT065732;B3;310;05/07/2021;1;20,14;75,69;163,34
1;23;301;AGUA BRANCA;53;IACCT062541;B3;311;05/07/2021;1;19,08;71,52;136,05
1;23;301;AGUA BRANCA;53;IACCT059903;B3;312;05/07/2021;1;17,16;61,22;146,81
1;23;301;AGUA BRANCA;53;RB92 579;B3;313;05/07/2021;1;22,02;83,06;162,45
1;23;301;AGUA BRANCA;53;CTC 9003;B3;314;05/07/2021;1;19,32;72,64;143,49
1;23;301;AGUA BRANCA;53;IACCT066689;B3;315;05/07/2021;1;15,17;51,49;151,99
1;23;301;AGUA BRANCA;53;IACCT062505;B3;316;05/07/2021;1;19,8;73,76;162,51
1;23;301;AGUA BRANCA;53;IACCT066655;B3;317;05/07/2021;1;17,18;59,01;155,96
1;23;301;AGUA BRANCA;53;IACCT065708;B3;318;05/07/2021;1;15,51;53,49;156,24
1;23;301;AGUA BRANCA;53;IACCT066667;B3;319;05/07/2021;1;20,5;76,23;160
1;23;301;AGUA BRANCA;53;IACCT055579;B3;320;05/07/2021;1;17,15;59,44;158,4
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;05/08/2021;1;14,14;45,59;140,92
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;05/08/2021;1;22,33;83,17;158,47
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;05/08/2021;1;17,44;60,72;140,5
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;05/08/2021;1;17,91;64,55;141,52
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;05/08/2021;1;22,51;86,67;144,78
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;05/08/2021;1;19,24;70,52;150,84
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;05/08/2021;1;18,46;67,8;135,65
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;05/08/2021;1;21,05;78,4;161,61
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;05/08/2021;1;18,91;69,65;133,64
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;05/08/2021;1;17,35;62,2;139,3
